REGION,FUEL,YEAR,VALUE
REGION1,SEst,2015,3.1
REGION1,SEst,2016,3.1
REGION1,SEst,2017,3.1
REGION1,SEst,2018,3.1
REGION1,SEst,2019,3.1
REGION1,SEst,2020,3.1
REGION1,SEst,2021,3.1
REGION1,SEst,2022,3.1
REGION1,SEst,2023,3.1
REGION1,SEst,2024,3.1
REGION1,SEst,2025,3.1
REGION1,SEst,2026,3.1
REGION1,SEst,2027,3.1
REGION1,SEst,2028,3.1
REGION1,SEst,2029,3.1
REGION1,SEst,2030,3.1
REGION1,SEst,2031,3.1
REGION1,SEst,2032,3.1
REGION1,SEst,2033,3.1
REGION1,SEst,2034,3.1
REGION1,SEst,2035,3.1
REGION1,SEst,2036,3.1
REGION1,SEst,2037,3.1
REGION1,SEst,2038,3.1
REGION1,SEst,2039,3.1
REGION1,SEst,2040,3.1
REGION1,SEst,2041,3.1
REGION1,SEst,2042,3.1
REGION1,SEst,2043,3.1
REGION1,SEst,2044,3.1
REGION1,SEst,2045,3.1
REGION1,SEst,2046,3.1
REGION1,SEst,2047,3.1
REGION1,SEst,2048,3.1
REGION1,SEst,2049,3.1
REGION1,SEst,2050,3.1
REGION1,SEst,2051,3.1
REGION1,SEst,2052,3.1
REGION1,SEst,2053,3.1
REGION1,SEst,2054,3.1
REGION1,SEst,2055,3.1
REGION1,SEst,2056,3.1
REGION1,SEst,2057,3.1
REGION1,SEst,2058,3.1
REGION1,SEst,2059,3.1
REGION1,SEst,2060,3.1
