REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,SESODIFH1,S01B1,2015,7.48698e-07
REGION1,SESODIFH1,S01B1,2016,7.48698e-07
REGION1,SESODIFH1,S01B1,2017,7.48698e-07
REGION1,SESODIFH1,S01B1,2018,7.48698e-07
REGION1,SESODIFH1,S01B1,2019,7.48698e-07
REGION1,SESODIFH1,S01B1,2020,7.48698e-07
REGION1,SESODIFH1,S01B1,2021,7.48698e-07
REGION1,SESODIFH1,S01B1,2022,7.48698e-07
REGION1,SESODIFH1,S01B1,2023,7.48698e-07
REGION1,SESODIFH1,S01B1,2024,7.48698e-07
REGION1,SESODIFH1,S01B1,2025,7.48698e-07
REGION1,SESODIFH1,S01B1,2026,7.48698e-07
REGION1,SESODIFH1,S01B1,2027,7.48698e-07
REGION1,SESODIFH1,S01B1,2028,7.48698e-07
REGION1,SESODIFH1,S01B1,2029,7.48698e-07
REGION1,SESODIFH1,S01B1,2030,7.48698e-07
REGION1,SESODIFH1,S01B1,2031,7.48698e-07
REGION1,SESODIFH1,S01B1,2032,7.48698e-07
REGION1,SESODIFH1,S01B1,2033,7.48698e-07
REGION1,SESODIFH1,S01B1,2034,7.48698e-07
REGION1,SESODIFH1,S01B1,2035,7.48698e-07
REGION1,SESODIFH1,S01B1,2036,7.48698e-07
REGION1,SESODIFH1,S01B1,2037,7.48698e-07
REGION1,SESODIFH1,S01B1,2038,7.48698e-07
REGION1,SESODIFH1,S01B1,2039,7.48698e-07
REGION1,SESODIFH1,S01B1,2040,7.48698e-07
REGION1,SESODIFH1,S01B1,2041,7.48698e-07
REGION1,SESODIFH1,S01B1,2042,7.48698e-07
REGION1,SESODIFH1,S01B1,2043,7.48698e-07
REGION1,SESODIFH1,S01B1,2044,7.48698e-07
REGION1,SESODIFH1,S01B1,2045,7.48698e-07
REGION1,SESODIFH1,S01B1,2046,7.48698e-07
REGION1,SESODIFH1,S01B1,2047,7.48698e-07
REGION1,SESODIFH1,S01B1,2048,7.48698e-07
REGION1,SESODIFH1,S01B1,2049,7.48698e-07
REGION1,SESODIFH1,S01B1,2050,7.48698e-07
REGION1,SESODIFH1,S01B1,2051,7.48698e-07
REGION1,SESODIFH1,S01B1,2052,7.48698e-07
REGION1,SESODIFH1,S01B1,2053,7.48698e-07
REGION1,SESODIFH1,S01B1,2054,7.48698e-07
REGION1,SESODIFH1,S01B1,2055,7.48698e-07
REGION1,SESODIFH1,S01B1,2056,7.48698e-07
REGION1,SESODIFH1,S01B1,2057,7.48698e-07
REGION1,SESODIFH1,S01B1,2058,7.48698e-07
REGION1,SESODIFH1,S01B1,2059,7.48698e-07
REGION1,SESODIFH1,S01B1,2060,7.48698e-07
REGION1,SESODIFH1,S01B2,2015,0.048966657
REGION1,SESODIFH1,S01B2,2016,0.048966657
REGION1,SESODIFH1,S01B2,2017,0.048966657
REGION1,SESODIFH1,S01B2,2018,0.048966657
REGION1,SESODIFH1,S01B2,2019,0.048966657
REGION1,SESODIFH1,S01B2,2020,0.048966657
REGION1,SESODIFH1,S01B2,2021,0.048966657
REGION1,SESODIFH1,S01B2,2022,0.048966657
REGION1,SESODIFH1,S01B2,2023,0.048966657
REGION1,SESODIFH1,S01B2,2024,0.048966657
REGION1,SESODIFH1,S01B2,2025,0.048966657
REGION1,SESODIFH1,S01B2,2026,0.048966657
REGION1,SESODIFH1,S01B2,2027,0.048966657
REGION1,SESODIFH1,S01B2,2028,0.048966657
REGION1,SESODIFH1,S01B2,2029,0.048966657
REGION1,SESODIFH1,S01B2,2030,0.048966657
REGION1,SESODIFH1,S01B2,2031,0.048966657
REGION1,SESODIFH1,S01B2,2032,0.048966657
REGION1,SESODIFH1,S01B2,2033,0.048966657
REGION1,SESODIFH1,S01B2,2034,0.048966657
REGION1,SESODIFH1,S01B2,2035,0.048966657
REGION1,SESODIFH1,S01B2,2036,0.048966657
REGION1,SESODIFH1,S01B2,2037,0.048966657
REGION1,SESODIFH1,S01B2,2038,0.048966657
REGION1,SESODIFH1,S01B2,2039,0.048966657
REGION1,SESODIFH1,S01B2,2040,0.048966657
REGION1,SESODIFH1,S01B2,2041,0.048966657
REGION1,SESODIFH1,S01B2,2042,0.048966657
REGION1,SESODIFH1,S01B2,2043,0.048966657
REGION1,SESODIFH1,S01B2,2044,0.048966657
REGION1,SESODIFH1,S01B2,2045,0.048966657
REGION1,SESODIFH1,S01B2,2046,0.048966657
REGION1,SESODIFH1,S01B2,2047,0.048966657
REGION1,SESODIFH1,S01B2,2048,0.048966657
REGION1,SESODIFH1,S01B2,2049,0.048966657
REGION1,SESODIFH1,S01B2,2050,0.048966657
REGION1,SESODIFH1,S01B2,2051,0.048966657
REGION1,SESODIFH1,S01B2,2052,0.048966657
REGION1,SESODIFH1,S01B2,2053,0.048966657
REGION1,SESODIFH1,S01B2,2054,0.048966657
REGION1,SESODIFH1,S01B2,2055,0.048966657
REGION1,SESODIFH1,S01B2,2056,0.048966657
REGION1,SESODIFH1,S01B2,2057,0.048966657
REGION1,SESODIFH1,S01B2,2058,0.048966657
REGION1,SESODIFH1,S01B2,2059,0.048966657
REGION1,SESODIFH1,S01B2,2060,0.048966657
REGION1,SESODIFH1,S01B3,2015,0.0
REGION1,SESODIFH1,S01B3,2016,0.0
REGION1,SESODIFH1,S01B3,2017,0.0
REGION1,SESODIFH1,S01B3,2018,0.0
REGION1,SESODIFH1,S01B3,2019,0.0
REGION1,SESODIFH1,S01B3,2020,0.0
REGION1,SESODIFH1,S01B3,2021,0.0
REGION1,SESODIFH1,S01B3,2022,0.0
REGION1,SESODIFH1,S01B3,2023,0.0
REGION1,SESODIFH1,S01B3,2024,0.0
