REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2015,0.1
REGION1,CO2,2016,0.1
REGION1,CO2,2017,0.1
REGION1,CO2,2018,0.1
REGION1,CO2,2019,0.1
REGION1,CO2,2020,0.1
REGION1,CO2,2021,0.1
REGION1,CO2,2022,0.1
REGION1,CO2,2023,0.1
REGION1,CO2,2024,0.1
REGION1,CO2,2025,0.1
REGION1,CO2,2026,0.1
REGION1,CO2,2027,0.1
REGION1,CO2,2028,0.1
REGION1,CO2,2029,0.1
REGION1,CO2,2030,0.1
REGION1,CO2,2031,0.1
REGION1,CO2,2032,0.1
REGION1,CO2,2033,0.1
REGION1,CO2,2034,0.1
REGION1,CO2,2035,0.1
REGION1,CO2,2036,0.1
REGION1,CO2,2037,0.1
REGION1,CO2,2038,0.1
REGION1,CO2,2039,0.1
REGION1,CO2,2040,0.1
REGION1,CO2,2041,0.1
REGION1,CO2,2042,0.1
REGION1,CO2,2043,0.1
REGION1,CO2,2044,0.1
REGION1,CO2,2045,0.1
REGION1,CO2,2046,0.1
REGION1,CO2,2047,0.1
REGION1,CO2,2048,0.1
REGION1,CO2,2049,0.1
REGION1,CO2,2050,0.1
REGION1,CO2,2051,0.1
REGION1,CO2,2052,0.1
REGION1,CO2,2053,0.1
REGION1,CO2,2054,0.1
REGION1,CO2,2055,0.1
REGION1,CO2,2056,0.1
REGION1,CO2,2057,0.1
REGION1,CO2,2058,0.1
REGION1,CO2,2059,0.1
REGION1,CO2,2060,0.1
