REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,SEE2,S01B1,2015,0.045774998
REGION1,SEE2,S01B1,2016,0.045774998
REGION1,SEE2,S01B1,2017,0.045774998
REGION1,SEE2,S01B1,2018,0.045774998
REGION1,SEE2,S01B1,2019,0.045774998
REGION1,SEE2,S01B1,2020,0.045774998
REGION1,SEE2,S01B1,2021,0.045774998
REGION1,SEE2,S01B1,2022,0.045774998
REGION1,SEE2,S01B1,2023,0.045774998
REGION1,SEE2,S01B1,2024,0.045774998
REGION1,SEE2,S01B1,2025,0.045774998
REGION1,SEE2,S01B1,2026,0.045774998
REGION1,SEE2,S01B1,2027,0.045774998
REGION1,SEE2,S01B1,2028,0.045774998
REGION1,SEE2,S01B1,2029,0.045774998
REGION1,SEE2,S01B1,2030,0.045774998
REGION1,SEE2,S01B1,2031,0.045774998
REGION1,SEE2,S01B1,2032,0.045774998
REGION1,SEE2,S01B1,2033,0.045774998
REGION1,SEE2,S01B1,2034,0.045774998
REGION1,SEE2,S01B1,2035,0.045774998
REGION1,SEE2,S01B1,2036,0.045774998
REGION1,SEE2,S01B1,2037,0.045774998
REGION1,SEE2,S01B1,2038,0.045774998
REGION1,SEE2,S01B1,2039,0.045774998
REGION1,SEE2,S01B1,2040,0.045774998
REGION1,SEE2,S01B1,2041,0.045774998
REGION1,SEE2,S01B1,2042,0.045774998
REGION1,SEE2,S01B1,2043,0.045774998
REGION1,SEE2,S01B1,2044,0.045774998
REGION1,SEE2,S01B1,2045,0.045774998
REGION1,SEE2,S01B1,2046,0.045774998
REGION1,SEE2,S01B1,2047,0.045774998
REGION1,SEE2,S01B1,2048,0.045774998
REGION1,SEE2,S01B1,2049,0.045774998
REGION1,SEE2,S01B1,2050,0.045774998
REGION1,SEE2,S01B1,2051,0.045774998
REGION1,SEE2,S01B1,2052,0.045774998
REGION1,SEE2,S01B1,2053,0.045774998
REGION1,SEE2,S01B1,2054,0.045774998
REGION1,SEE2,S01B1,2055,0.045774998
REGION1,SEE2,S01B1,2056,0.045774998
REGION1,SEE2,S01B1,2057,0.045774998
REGION1,SEE2,S01B1,2058,0.045774998
REGION1,SEE2,S01B1,2059,0.045774998
REGION1,SEE2,S01B1,2060,0.045774998
REGION1,SEE2,S01B2,2015,0.141501128
REGION1,SEE2,S01B2,2016,0.141501128
REGION1,SEE2,S01B2,2017,0.141501128
REGION1,SEE2,S01B2,2018,0.141501128
REGION1,SEE2,S01B2,2019,0.141501128
REGION1,SEE2,S01B2,2020,0.141501128
REGION1,SEE2,S01B2,2021,0.141501128
REGION1,SEE2,S01B2,2022,0.141501128
REGION1,SEE2,S01B2,2023,0.141501128
REGION1,SEE2,S01B2,2024,0.141501128
REGION1,SEE2,S01B2,2025,0.141501128
REGION1,SEE2,S01B2,2026,0.141501128
REGION1,SEE2,S01B2,2027,0.141501128
REGION1,SEE2,S01B2,2028,0.141501128
REGION1,SEE2,S01B2,2029,0.141501128
REGION1,SEE2,S01B2,2030,0.141501128
REGION1,SEE2,S01B2,2031,0.141501128
REGION1,SEE2,S01B2,2032,0.141501128
REGION1,SEE2,S01B2,2033,0.141501128
REGION1,SEE2,S01B2,2034,0.141501128
REGION1,SEE2,S01B2,2035,0.141501128
REGION1,SEE2,S01B2,2036,0.141501128
REGION1,SEE2,S01B2,2037,0.141501128
REGION1,SEE2,S01B2,2038,0.141501128
REGION1,SEE2,S01B2,2039,0.141501128
REGION1,SEE2,S01B2,2040,0.141501128
REGION1,SEE2,S01B2,2041,0.141501128
REGION1,SEE2,S01B2,2042,0.141501128
REGION1,SEE2,S01B2,2043,0.141501128
REGION1,SEE2,S01B2,2044,0.141501128
REGION1,SEE2,S01B2,2045,0.141501128
REGION1,SEE2,S01B2,2046,0.141501128
REGION1,SEE2,S01B2,2047,0.141501128
REGION1,SEE2,S01B2,2048,0.141501128
REGION1,SEE2,S01B2,2049,0.141501128
REGION1,SEE2,S01B2,2050,0.141501128
REGION1,SEE2,S01B2,2051,0.141501128
REGION1,SEE2,S01B2,2052,0.141501128
REGION1,SEE2,S01B2,2053,0.141501128
REGION1,SEE2,S01B2,2054,0.141501128
REGION1,SEE2,S01B2,2055,0.141501128
REGION1,SEE2,S01B2,2056,0.141501128
REGION1,SEE2,S01B2,2057,0.141501128
REGION1,SEE2,S01B2,2058,0.141501128
REGION1,SEE2,S01B2,2059,0.141501128
REGION1,SEE2,S01B2,2060,0.141501128
REGION1,SEE2,S01B3,2015,0.025252502
REGION1,SEE2,S01B3,2016,0.025252502
REGION1,SEE2,S01B3,2017,0.025252502
REGION1,SEE2,S01B3,2018,0.025252502
REGION1,SEE2,S01B3,2019,0.025252502
REGION1,SEE2,S01B3,2020,0.025252502
REGION1,SEE2,S01B3,2021,0.025252502
REGION1,SEE2,S01B3,2022,0.025252502
REGION1,SEE2,S01B3,2023,0.025252502
REGION1,SEE2,S01B3,2024,0.025252502
REGION1,SEE2,S01B3,2025,0.025252502
REGION1,SEE2,S01B3,2026,0.025252502
REGION1,SEE2,S01B3,2027,0.025252502
REGION1,SEE2,S01B3,2028,0.025252502
REGION1,SEE2,S01B3,2029,0.025252502
REGION1,SEE2,S01B3,2030,0.025252502
REGION1,SEE2,S01B3,2031,0.025252502
REGION1,SEE2,S01B3,2032,0.025252502
REGION1,SEE2,S01B3,2033,0.025252502
REGION1,SEE2,S01B3,2034,0.025252502
REGION1,SEE2,S01B3,2035,0.025252502
REGION1,SEE2,S01B3,2036,0.025252502
REGION1,SEE2,S01B3,2037,0.025252502
REGION1,SEE2,S01B3,2038,0.025252502
REGION1,SEE2,S01B3,2039,0.025252502
