REGION,EMISSION,YEAR,VALUE
REGION1,SESO,2030,4.391868579
REGION1,SESO,2031,4.594114654
REGION1,SESO,2032,4.796360728
REGION1,SESO,2033,4.998606802
REGION1,SESO,2034,5.200852876
REGION1,SESO,2035,5.403098951
REGION1,SESO,2036,5.829311462
REGION1,SESO,2037,6.255523973
REGION1,SESO,2038,6.681736485
REGION1,SESO,2039,7.107948996
REGION1,SESO,2040,7.534161508
REGION1,SESO,2041,7.641197284
REGION1,SESO,2042,7.74823306
REGION1,SESO,2043,7.855268836
REGION1,SESO,2044,7.962304612
REGION1,SESO,2045,8.069340388
REGION1,SESO,2046,8.276609572
REGION1,SESO,2047,8.483878755
REGION1,SESO,2048,8.691147939
REGION1,SESO,2049,8.898417123
REGION1,SESO,2050,9.105686307
REGION1,SESO,2051,9.287800033
REGION1,SESO,2052,9.473556034
REGION1,SESO,2053,9.663027154
REGION1,SESO,2054,9.856287697
REGION1,SESO,2055,10.05341345
REGION1,SESO,2056,10.20421465
REGION1,SESO,2057,10.35727787
REGION1,SESO,2058,10.51263704
REGION1,SESO,2059,10.6703266
REGION1,SESO,2060,10.8303815
REGION1,SEWO,2015,5590.8
REGION1,SEWO,2016,5590.8
REGION1,SEWO,2017,5590.8
REGION1,SEWO,2018,5590.8
REGION1,SEWO,2019,5590.8
REGION1,SEWO,2020,5590.8
REGION1,SEWO,2021,5590.8
REGION1,SEWO,2022,5590.8
REGION1,SEWO,2023,5590.8
REGION1,SEWO,2024,5590.8
REGION1,SEWO,2025,5590.8
REGION1,SEWO,2026,5590.8
REGION1,SEWO,2027,5590.8
REGION1,SEWO,2028,5590.8
REGION1,SEWO,2029,5590.8
REGION1,SEWO,2030,5590.8
REGION1,SEWO,2031,5590.8
REGION1,SEWO,2032,5590.8
REGION1,SEWO,2033,5590.8
REGION1,SEWO,2034,5590.8
REGION1,SEWO,2035,5590.8
REGION1,SEWO,2036,5590.8
REGION1,SEWO,2037,5590.8
REGION1,SEWO,2038,5590.8
REGION1,SEWO,2039,5590.8
REGION1,SEWO,2040,5590.8
REGION1,SEWO,2041,5590.8
REGION1,SEWO,2042,5590.8
REGION1,SEWO,2043,5590.8
REGION1,SEWO,2044,5590.8
REGION1,SEWO,2045,5590.8
REGION1,SEWO,2046,5590.8
REGION1,SEWO,2047,5590.8
REGION1,SEWO,2048,5590.8
REGION1,SEWO,2049,5590.8
REGION1,SEWO,2050,5590.8
REGION1,SEWO,2051,5590.8
REGION1,SEWO,2052,5590.8
REGION1,SEWO,2053,5590.8
REGION1,SEWO,2054,5590.8
REGION1,SEWO,2055,5590.8
REGION1,SEWO,2056,5590.8
REGION1,SEWO,2057,5590.8
REGION1,SEWO,2058,5590.8
REGION1,SEWO,2059,5590.8
REGION1,SEWO,2060,5590.8
